评论时间,昵称,评论内容
2020-12-27 21:20:35,国帅海,确实挺憨憨的，如果真的放在黑暗森林的世界观里，我们极有可能技术爆炸，反攻奥特曼，当然要排除那些超光速啥的[可爱]
2020-12-27 19:30:42,放牛郎余牧,维徳为什么当时要信守承诺，把决定权交给程心，哪怕他就不遵守承诺可以不？始终意难平。
2020-12-27 18:05:49,承爹世界第一,典藏版好像是分的大章那样来的，我看的时候没觉得啥不适，可能我个人比较能适应吧
2020-12-27 14:49:53,荷兰退休伐木工,我觉得上部的面壁者和中部的咒语应该算上半段，下部的黑暗森林是下半段。毕竟咒语和黑暗森林之间的时间跨度太大了，而且下部黑暗森林几乎占了整个书的一半。我看的也是典藏版
2020-12-27 14:32:32,某科学的御坂14389号,不，不能这么说，只能说归零者在达到高级文明前都非常善于伪装隐藏自己。并且，除掉整个宇宙的文明是某种意义上的不可能，上文说了，归零者善于隐藏自己，说明肯定还会有文明会像归零者一样在达到高级文明前当缩头乌龟。
2020-12-27 14:23:58,某科学的御坂14389号,宇宙不是童话
2020-12-27 13:33:50,dishing-pow,刘慈欣厕所感动痛苦
2020-12-27 11:40:16,zhhr326,每次听黑暗森林都还特别感动，#我的三体# 真的是目前最好的三体小说改编作品
2020-12-26 17:47:43,霍格沃茨研究生,笑死了
2020-12-26 09:55:43,威廉_欧文,好家伙
2020-12-26 09:37:21,呜_呜_我不想吃桂花糕,二向箔警告，别说奥特曼铠甲勇士都得死
2020-12-25 20:33:46,某勤劳的休伯利安清洁工,当流浪地球遇到三体舰队：三体人：“你们去哪儿？”地球人：“你们去哪儿？”三体人：“半人马座三星环境太恶劣过不下去，我们要去太阳系。”地球人：“太阳完了，我们要去半人马座三星。”三体人：“我晶！”地球人：“我日！”
2020-12-25 18:25:54,Jupiter--------,纳米丝
2020-12-25 14:01:57,提发一下,我发现大刘真的神啊，现在人类真的越来越趋向于女性化了，小鲜肉欧巴满天飞，一个个火成什么样子了，这个时代的人越来越喜欢看那种外表高尚内在低级的言情小说，真正的硬科幻学术著作没几个人看……在这一点上大刘很成功，不但三体特火而且成功扭转了一部分国人的女性化，我就是其中之一。
2020-12-25 09:45:06,愿你better,我觉得一个阴谋论:归零者想借各文明交出小宇宙，除掉个文明，成为宇宙的王
2020-12-25 09:36:35,愿你better,三体不是母性生态系统导致不能生存然后叶文洁给3体发送了地球坐标，三体人来占领地球移民
2020-12-25 09:28:56,愿你better,有个阴谋论:归零者就是死神，让各文明归还小宇宙然后知道各文明的位置，最后一举歼灭成为宇宙的王
2020-12-25 09:15:46,愿你better,程欣转啥时候出
2020-12-24 22:14:33,秦枭以,葡萄酒：我不配？罗辑快乐酒，哈哈哈(ಡωಡ)
2020-12-24 22:11:47,秦枭以,罗辑快乐酒[多多大笑]
2020-12-24 22:04:13,秦枭以,程心？你确定？
2020-12-24 17:12:19,_OZAKI,这歌没有一点黑暗森林的情境好吧，三体用它分分钟凉掉
2020-12-24 12:45:14,为___z,看到封面想到了饥荒…
2020-12-23 20:40:44,Heroxm,只是虫子吗？
2020-12-23 19:10:49,提发一下,人类文明：小程心，玩玩了帮忙把号还给罗辑呗，毕竟你懂的……我可没说你一无是处无可救药超级圣母哦！程心：那啥，哥，我把你的号覆盖了……新号叫三体，我觉得比旧号好玩……人类文明：WTM！罗辑：WTM！人类文明：WT……罗辑：哥！！！你咋啦？！人类文明：……章北海：没事，我有云存档！
2020-12-23 18:57:29,言绫依是什么依一v一,？？？你在说什么
2020-12-23 14:26:33,-skz,井底之蛙 只是东亚有女性化倾向 完全是韩国带的 欧美还是喜欢肌肉男
2020-12-23 14:06:35,网抑云_OvO-,消灭人类暴政……………………
2020-12-23 11:25:06,不再服务区1910,公知就是这样抹黑我国那些默默奉献的人的[撇嘴]，无论那些付出的人曾经有过什么样的历史和人格缺点，但他最终做的事，就是为人民服务，就是为人民服务的好同志！唯物主义才是真正能正视世界看透世界的真思想。
2020-12-22 22:59:30,折勝5号,没关系，都一样的
2020-12-22 22:17:11,BUG_JUMP,不，我们老师说是疯狗问题
2020-12-22 22:14:08,BUG_JUMP,"""所以说，大司马你只看到了第五层，而你把我想象成了第二层，其实，我是大气层。"""
2020-12-22 22:07:45,BUG_JUMP,程心进入了游戏服务器崩溃
2020-12-22 21:24:21,深海一点零,纳米丝啊肯定
2020-12-22 21:24:00,深海一点零,感觉因为丁仪出场太早就被遗忘了
2020-12-22 21:11:46,清风不值,刘慈欣写三体的时候可是缜密到非常不得了的哟。你可以看第一部的时候，他都已经铺垫出第二部要出现什么了
2020-12-22 21:10:55,清风不值,不不不原文中确实有之类的情节。
2020-12-22 21:09:47,清风不值,你看，确实是像楼主所说的。他差一点在冰河里淹死，算坟墓吧。在叶文洁坟墓前，向三体人对峙要是没有成功也算坟墓吧。
2020-12-22 21:05:43,清风不值,我为啥记得是星舰地球上的人特意派关一凡来接云天们他们的呢？[西西疑问]
2020-12-22 14:27:44,灰哥1903,就怕是真的，现在对其他文明我们可是一无所知
2020-12-22 14:20:48,灰哥1903,但愿吧，宇宙里不可能只有地球产生了文明
2020-12-22 14:11:54,仙林歪先森,第四季搞快点[大哭][大哭][大哭]
2020-12-22 14:08:03,灰哥1903,死了
2020-12-22 13:58:09,灰哥1903,奥特曼里能崩星单体还少吗？？[大哭][大哭]
2020-12-22 07:59:23,时序_龍羽time,是星舰地球壮大了，章北海带走的那批
2020-12-21 22:27:44,奈何苦聚,是的，就是智子啊
2020-12-21 20:47:49,素尘烟火,毁灭你，与你何干？
2020-12-21 17:25:33,auf-tropic,从某种程度上来说，维德成就了程心
2020-12-21 16:23:14,Moonquekes,笑死
2020-12-21 08:01:07,_XTZ_,“你们的孩子居然不怕日落”“当然不会怕 因为她知道明天太阳依旧会升起”
2020-12-20 23:19:30,为了信仰为了梦想,好比喻
2020-12-20 22:26:41,XshameLess,人类不感谢罗辑人类不配感谢罗辑
2020-12-20 18:06:12,微醺季节,他们会传送，奥特曼大电影里面戴拿就用过这一招来回地球和光之国
2020-12-20 16:12:46,回魂的小丑Pannwis,你自己看看已经多少评论了[呆][大笑]
2020-12-20 14:50:11,月墨度仟,毁灭，与何无关
2020-12-20 12:51:55,江湖人称三叶叶,？最后结局没说啊
2020-12-20 07:50:49,章北海_三体二黑暗森林,已经刻在DNA里了！！！
2020-12-20 01:11:45,1220042020180132420,不可能微乎其微，在原著里面仅仅是二向箔就已经开始无差别打击了，无差别打击对宇宙的影响很大，宇宙将因为二向箔的打击从三维跌入二维，所以歌者文明才开始将自身二维化，其他的武器更是不敢想，所有的恒星都要被打爆，所有的行星都要毁灭至无法生存的状态。
2020-12-19 22:25:08,幻梦qvq,这个我觉得不对。这是智子啊！
2020-12-19 18:13:19,雪城_刚大木,虫子是杀不尽，可是虫子从不会在一片农田里待着不走（三体一同感）
2020-12-19 17:50:53,B站入驻网易云的,谁跟我一样以为歌词是黑暗森林，呜呜
2020-12-19 15:36:47,守护者-半翼天使,代催更，懂？
2020-12-19 15:35:09,守护者-半翼天使,第三部结尾中的几百种语言也是
2020-12-19 15:29:33,守护者-半翼天使,网络病毒:多次失手的我……
2020-12-19 14:55:46,星星贩卖户,好像前几年不是大刘搞的，后来改了
2020-12-19 13:06:17,猎户星域,谢谢
2020-12-19 11:23:32,小刺刀不淦,不是的，三体人思维透明是三体人告诉人类文明的，猜疑链的本质是:你说的不一定是真的，就算是真的我也不知道。三体人虽然思维透明但是由于距离限制其它文明并不能确定他们的思维是透明的，所以黑暗森林依然存在
2020-12-19 11:02:56,sigh-sadness,孩子，你没看过
2020-12-19 07:55:55,昵称不能少于两个汉字_SwnA,二向箔不知道怎么样？
2020-12-19 07:55:43,昵称不能少于两个汉字_SwnA,光速的物质在进入低光速黑洞时，速度大幅度降低，我在低光速黑洞外的物质，却没有减速，会被撞碎
2020-12-19 07:40:49,永生古月方源,这个封面是两个孩子点燃了火堆，而周遭的黑暗里都是各种各样的眼睛
2020-12-19 05:48:43,孔子的师父,我觉得讨论人性的缺点本质上只是对自我放纵的借口，三体只是小说请不要随意拿来和生活比较，人性是复杂的，对与错都是认知的结果，不是手段。如果人类能随便战胜人性的缺点，那处处是活佛，记住自己才是结果。
2020-12-18 23:53:36,蛋糕怎么融了,人类配？
2020-12-18 23:41:28,蛋糕怎么融了,自己要求人家办事，事没成就说人家是个骗子是个什么骚操作？
2020-12-18 23:39:17,蛋糕怎么融了,人类把自己的方位告诉全宇宙就好比你把你家住哪发到暗网上
2020-12-18 22:46:13,昵称不能少于两个汉字_SwnA,他没有回复，全剧终
2020-12-18 22:39:01,昵称不能少于两个汉字_SwnA,好家伙，黑暗森林打击打的都这么远，打都打不到自己（大雾）
2020-12-18 22:35:17,昵称不能少于两个汉字_SwnA,可以创造小宇宙，那么可不可以创造大宇宙
2020-12-18 22:19:52,未知的my,这是计划的一部分！
2020-12-18 22:19:25,昵称不能少于两个汉字_SwnA,低质量红矮星（大雾）
2020-12-18 22:14:14,昵称不能少于两个汉字_SwnA,身不得，男儿列，心却比 男儿烈
2020-12-18 20:58:14,日冕号舰长,日推的集合↓[奸笑]
2020-12-18 20:56:08,日冕号舰长,两首曲子都不戳儿～[亲亲]
